experiment,model_name,rank,likelihood,viability,sparcity,similarity,feasibility,delta,cf_num_zeros,result_outcome,source_outcome,target_outcome,cf,fa,run.duration_sec,run.mask,run.short_name,run.full_name,run.no,wrapper.type,wrapper.max_len,gen.vocab_len,gen.max_len,gen.feature_len,gen.ft_mode,gen.model,viab.data_distribution,viab.vocab_len,viab.max_len,viab.measure_mask,viab.type,instance.no,iteration.no,row.no
1,CaseBasedGenerator,39,0.9970531463623047,2.5101524472847707,0.7211538461538461,0.7743864922838537,0.6722880903686774,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,12
1,CaseBasedGenerator,38,0.9970531463623047,2.5101524472847707,0.7211538461538461,0.7743864922838537,0.6722880903686774,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,13
1,CaseBasedGenerator,37,0.9970531463623047,2.5101524472847707,0.7211538461538461,0.7743864922838537,0.6722880903686774,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,14
1,CaseBasedGenerator,36,0.9970531463623047,2.5101524472847707,0.7211538461538461,0.7743864922838537,0.6722880903686774,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,15
1,CaseBasedGenerator,35,0.9970531463623047,2.5101524472847707,0.7211538461538461,0.7743864922838537,0.6722880903686774,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,16
1,CaseBasedGenerator,34,0.9970531463623047,2.5130502229328897,0.7211538461538461,0.7959285336982209,0.6536438246024293,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,17
1,CaseBasedGenerator,33,0.9970531463623047,2.5240323080457623,0.7211538461538461,0.7757179429072154,0.6848365005063073,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,18
1,CaseBasedGenerator,32,0.9970531463623047,2.5240323080457623,0.7211538461538461,0.7757179429072154,0.6848365005063073,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,19
1,CaseBasedGenerator,31,0.9970531463623047,2.5240323080457623,0.7211538461538461,0.7757179429072154,0.6848365005063073,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,20
1,CaseBasedGenerator,30,0.9970531463623047,2.5240323080457623,0.7211538461538461,0.7757179429072154,0.6848365005063073,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,21
1,CaseBasedGenerator,29,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,22
1,CaseBasedGenerator,28,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,23
1,CaseBasedGenerator,27,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,24
1,CaseBasedGenerator,26,0.9970531463623047,2.53646296265182,0.7211538461538461,0.7935155316010039,0.6794695664185761,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,25
1,CaseBasedGenerator,23,0.9970531463623047,2.5374919063691976,0.7211538461538461,0.77704167524178,0.6969723664951781,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,26
1,CaseBasedGenerator,22,0.9970531463623047,2.5374919063691976,0.7211538461538461,0.77704167524178,0.6969723664951781,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,27
1,CaseBasedGenerator,25,0.9970531463623047,2.5374919063691976,0.7211538461538461,0.77704167524178,0.6969723664951781,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,28
1,CaseBasedGenerator,24,0.9970531463623047,2.544058282315574,0.7211538461538461,0.7777006107415041,0.7028798069418305,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,29
1,CaseBasedGenerator,20,0.9970531463623047,2.544058282315574,0.7211538461538461,0.7777006107415041,0.7028798069418305,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,30
1,CaseBasedGenerator,19,0.9970531463623047,2.544058282315574,0.7211538461538461,0.7777006107415041,0.7028798069418305,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,31
1,CaseBasedGenerator,18,0.9970531463623047,2.5505128630174214,0.7211538461538461,0.778357574678231,0.7086774237069507,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,32
1,CaseBasedGenerator,21,0.9970531463623047,2.5505128630174214,0.7211538461538461,0.778357574678231,0.7086774237069507,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,33
1,CaseBasedGenerator,17,0.9970531463623047,2.5582297558210474,0.7211538461538461,0.791070793397264,0.703681097791544,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,34
1,CaseBasedGenerator,13,0.9970531463623047,2.560602803403855,0.7211538461538461,0.7794045857571771,0.7177203530144379,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,35
1,CaseBasedGenerator,12,0.9970531463623047,2.5618431982062626,0.7211538461538461,0.7795351027274645,0.7188302308465582,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,36
1,CaseBasedGenerator,11,0.9970531463623047,2.5630789146840467,0.7211538461538461,0.7796655395432746,0.7199355105085324,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,37
1,CaseBasedGenerator,14,0.9970531463623047,2.5633965067931213,0.7211538461538461,0.7904545700193071,0.7094640721415746,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,38
1,CaseBasedGenerator,15,0.9970531463623047,2.575176023987157,0.7211538461538461,0.7809654820378671,0.7307326773170502,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,39
1,CaseBasedGenerator,16,0.9970531463623047,2.575176023987157,0.7211538461538461,0.7809654820378671,0.7307326773170502,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,40
1,CaseBasedGenerator,10,0.9970531463623047,2.575176023987157,0.7211538461538461,0.7809654820378671,0.7307326773170502,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,41
1,CaseBasedGenerator,9,0.9970531463623047,2.575176023987157,0.7211538461538461,0.7809654820378671,0.7307326773170502,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,42
1,CaseBasedGenerator,8,0.9970531463623047,2.575176023987157,0.7211538461538461,0.7809654820378671,0.7307326773170502,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,43
1,CaseBasedGenerator,7,0.9970531463623047,2.575176023987157,0.7211538461538461,0.7809654820378671,0.7307326773170502,0.34232401847839355,20,1,1,0,26 > 01 > 02 > 03 > 19 > 18 > 27,26 > 01 > 02 > 03 > 04 > 21 > 10 > 05 > 06 > 07 > 08 > 09 > 10 > 11 > 24 > 20 > 11 > 18 > 27,35.980337142944336,1111,CBG_CBGW_IM,CaseBasedGenerator_CaseBasedGeneratorWrapper_ImprovementMeasure,1,CaseBasedGeneratorWrapper,27,28,27,8,1,CaseBasedGenerator,6156,28,27,1111,ImprovementMeasure,1,1,44
